No,検査分類,表示名,施設ID,検査コード,検査名,検体コード,検体名,単位,標準単位,変換率
577,血液検査,網赤血球数,1.2.840.114319.5.1000.1.18.1,0214100,網赤血球数,034,血液,%,%,1
578,血液検査,網赤血球数,1.2.840.114319.5.1000.1.22.1,0500900,RET‰,003,静全血,‰,%,0.1
579,血液検査,網赤血球数,1.2.840.114319.5.1000.1.22.2,005300,網状赤血球数,1G1,末梢全血（HLA関連）,%,%,1
580,血液検査,網赤血球数,1.2.840.114319.5.1000.1.28.13,0009,網赤血球数,11,全血,‰,%,0.1
581,血液検査,網赤血球数,1.2.840.114319.5.1000.1.45.1,0060300,網赤血球,001,血液,%,%,1
582,血液検査,網赤血球数(絶対数),1.2.840.114319.5.1000.1.26.1,0207010,網赤血球数,010,血液,10^12/L,10^4/μL,100
583,血液検査,網赤血球数(絶対数),1.2.840.114319.5.1000.1.45.1,0062700,網赤血球数,001,血液,10^4/μL,10^4/μL,1
584,病理検査,TSH,1.2.840.114319.5.1000.1.18.1,0430100,TSH,034,血液,μIU/mL,μIU/mL,1
585,病理検査,TSH,1.2.840.114319.5.1000.1.22.1,0106800,TSH,005,静血漿,μIU/mL,μIU/mL,1
586,病理検査,TSH,1.2.840.114319.5.1000.1.22.2,333601,Ｔｓｈ,1C1,静脈血漿（凝固）,μU/ml,μIU/mL,1
587,病理検査,TSH,1.2.840.114319.5.1000.1.28.13,2283,Ｔｓｈ,12,血清,μIU/ml,μIU/mL,1
588,病理検査,TSH,1.2.840.114319.5.1000.1.45.1,0020900,ＴＳＨ,001,血液,μIU/mL,μIU/mL,1
589,血液ガス検査,HCO3,1.2.840.114319.5.1000.1.18.1,0994104,HCO3,003,血液（Ａ）,mmol/L,mmol/L,1
590,血液ガス検査,HCO3,1.2.840.114319.5.1000.1.22.1,0661500,HCO3,009,動全血,mmol/L,mmol/L,1
591,血液ガス検査,HCO3,1.2.840.114319.5.1000.1.22.2,300104,Ｈｃｏ３,1A1,動脈全血,,mmol/L,1
592,血液ガス検査,HCO3,1.2.840.114319.5.1000.1.23.3,2099205,重炭酸イオン,611,静脈血,mmol/l,mmol/L,1
593,血液ガス検査,HCO3,1.2.840.114319.5.1000.1.28.13,0946,Ｈｃｏ３ａｃｔ,11,全血,mmol/l,mmol/L,1
594,血液ガス検査,HCO3,1.2.840.114319.5.1000.1.45.1,0016904,HCO3-act,050,静脈血,mmol/L,mmol/L,1
595,血液ガス検査,HCO3,1.2.840.114319.5.1000.1.45.2,01256,ＨＣＯ3,003,全血,mmol/L,mmol/L,1
596,血液ガス検査,HCO3,1.2.840.114319.5.1000.1.45.4,01206,HCO3act,003,全血,mmol/L,mmol/L,1
597,血液ガス検査,ctO2,1.2.840.114319.5.1000.1.18.1,0994106,O2CT,003,血液（Ａ）,mol/dL,mol/dL,1
598,血液ガス検査,ctO2,1.2.840.114319.5.1000.1.22.1,0661000,O2Cont,009,動全血,mL/dL,mol/dL,1
599,血液ガス検査,ctO2,1.2.840.114319.5.1000.1.22.2,300106,Ｏ２－Ｃｔ,1A1,動脈全血,,mol/dL,1
600,血液ガス検査,ctO2,1.2.840.114319.5.1000.1.45.1,0016915,ctO2(a),050,静脈血,ml/dL,mol/dL,1
601,血液ガス検査,sO2,1.2.840.114319.5.1000.1.18.1,0994107,O2SAT,003,血液（Ａ）,%,%,1
602,血液ガス検査,sO2,1.2.840.114319.5.1000.1.22.1,0661600,O2sat（ｃ）,009,動全血,％,%,1
603,血液ガス検査,sO2,1.2.840.114319.5.1000.1.22.2,300107,Ｏ２　Ｓａｔ,1A1,動脈全血,%,%,1
604,血液ガス検査,sO2,1.2.840.114319.5.1000.1.23.3,2099208,酸素飽和度,611,静脈血,%,%,1
605,血液ガス検査,sO2,1.2.840.114319.5.1000.1.28.13,0948,Ｓｏ２,11,全血,%,%,1
606,血液ガス検査,sO2,1.2.840.114319.5.1000.1.45.1,0016907,sO2,050,静脈血,%,%,1
607,血液ガス検査,sO2,1.2.840.114319.5.1000.1.45.4,01210,SO2,003,全血,%,%,1
608,血液ガス検査,pO2,1.2.840.114319.5.1000.1.45.1,0016903,ｐO2,050,静脈血,mmHg,mmHg,1
609,血液ガス検査,pO2,1.2.840.114319.5.1000.1.18.1,0994203,PO2,004,血液（Ｖ）,mmHg,mmHg,1
610,血液ガス検査,pO2,1.2.840.114319.5.1000.1.22.1,0661200,pO2,009,動全血,mmHg,mmHg,1
611,血液ガス検査,pO2,1.2.840.114319.5.1000.1.22.2,300103,Ｐｏ２,1A1,動脈全血,,mmHg,1
612,血液ガス検査,pO2,1.2.840.114319.5.1000.1.23.3,2099204,酸素分圧,611,静脈血,mmHg,mmHg,1
613,血液ガス検査,pO2,1.2.840.114319.5.1000.1.28.13,0945,Ｐｏ２,11,全血,mmHg,mmHg,1
614,血液ガス検査,pO2,1.2.840.114319.5.1000.1.45.2,01255,ＰＯ2,003,全血,mmHg,mmHg,1
615,血液ガス検査,pO2,1.2.840.114319.5.1000.1.45.4,01205,ＰＯ2,003,全血,mmHg,mmHg,1
616,血液ガス検査,pCO2,1.2.840.114319.5.1000.1.45.1,0016902,ｐCO2,050,静脈血,mmHg,mmHg,1
617,血液ガス検査,pCO2,1.2.840.114319.5.1000.1.18.1,0994202,PCO2,004,血液（Ｖ）,mmHg,mmHg,1
618,血液ガス検査,pCO2,1.2.840.114319.5.1000.1.22.1,0661300,pCO2,009,動全血,mmHg,mmHg,1
619,血液ガス検査,pCO2,1.2.840.114319.5.1000.1.22.2,300102,Ｐｃｏ２,1A1,動脈全血,,mmHg,1
620,血液ガス検査,pCO2,1.2.840.114319.5.1000.1.23.3,2099203,二酸化炭素分圧,611,静脈血,mmHg,mmHg,1
621,血液ガス検査,pCO2,1.2.840.114319.5.1000.1.28.13,0944,Ｐｃｏ２,11,全血,mmHg,mmHg,1
622,血液ガス検査,pCO2,1.2.840.114319.5.1000.1.45.2,01254,ＰＣＯ2,003,全血,mmHg,mmHg,1
623,血液ガス検査,pCO2,1.2.840.114319.5.1000.1.45.4,01204,ＰＣＯ2,003,全血,mmHg,mmHg,1
624,血液ガス検査,tCO2,1.2.840.114319.5.1000.1.18.1,0994111,TCO2,003,血液（Ａ）,mmol/L,mmol/L,1
625,血液ガス検査,tCO2,1.2.840.114319.5.1000.1.23.3,2099206,総二酸化炭素,611,静脈血,mmol/l,mmol/L,1
626,血液ガス検査,tCO2,1.2.840.114319.5.1000.1.22.2,300111,Ｔ．Ｃｏ２,1A1,動脈全血,,mmol/L,1
627,血液ガス検査,tCO2,1.2.840.114319.5.1000.1.28.13,0951,Ｔｃｏ２,11,全血,mmol/l,mmol/L,1
628,血液ガス検査,tCO2,1.2.840.114319.5.1000.1.45.1,0016906,ctCO2,050,静脈血,mmol/L,mmol/L,1
629,血液ガス検査,tCO2,1.2.840.114319.5.1000.1.45.2,01257,ＴＣＯ2,003,全血,mmol/L,mmol/L,1
630,免疫血清検査,フェリチン,1.2.840.114319.5.1000.1.27.3,0001205,ﾌｪﾘﾁﾝ,023,血清,ng/mL,ng/mL,1
631,免疫血清検査,フェリチン,1.2.840.114319.5.1000.1.22.1,0145200,ﾌｪﾘﾁﾝ,005,静血漿,ng/mL,ng/mL,1
632,免疫血清検査,フェリチン,1.2.840.114319.5.1000.1.22.2,306801,フェリチン,1B1,静脈血清（一般特殊 ）,,ng/mL,1
633,免疫血清検査,フェリチン,1.2.840.114319.5.1000.1.18.1,0431300,ﾌｪﾘﾁﾝ,034,血液,ng/mL,ng/mL,1
634,免疫血清検査,フェリチン,1.2.840.114319.5.1000.1.28.13,3602,フェリチン,12,血清,ng/ml,ng/mL,1
635,免疫血清検査,フェリチン,1.2.840.114319.5.1000.1.45.4,00330,フェリチン,001,血清,ng/mL,ng/mL,1
636,生化学検査,イオン化カルシウム,1.2.840.114319.5.1000.1.23.3,2099211,イオン化カルシウム,611,静脈血,mmol/l,mmol/L,1
637,生化学検査,イオン化カルシウム,1.2.840.114319.5.1000.1.18.1,0994221,Ca2+,004,血液（Ｖ）,mmol/L,mmol/L,1
638,生化学検査,イオン化カルシウム,1.2.840.114319.5.1000.1.22.1,0662700,全血iCa,009,動全血,mmol/L,mmol/L,1
639,生化学検査,イオン化カルシウム,1.2.840.114319.5.1000.1.22.2,300300,全血Ｉ－Ｃａ,1A1,動脈全血,,mmol/L,1
640,生化学検査,イオン化カルシウム,1.2.840.114319.5.1000.1.28.13,0959,Ｃａ２＋,11,全血,,mmol/L,1
641,生化学検査,イオン化カルシウム,1.2.840.114319.5.1000.1.45.1,0016918,Ca++,050,静脈血,mEq/L,mmol/L,1
642,生化学検査,イオン化カルシウム,1.2.840.114319.5.1000.1.45.2,01265,iCa,003,全血,mmol/L,mmol/L,1
643,生化学検査,イオン化カルシウム,1.2.840.114319.5.1000.1.45.4,01215,iCa,003,全血,mmol/L,mmol/L,1
644,血液ガス検査,O2Hb,1.2.840.114319.5.1000.1.23.3,2099212,オキシヘモグロビン,611,静脈血,%,%,1
645,血液ガス検査,O2Hb,1.2.840.114319.5.1000.1.22.1,0661900,O2Hb,009,動全血,％,%,1
646,血液ガス検査,O2Hb,1.2.840.114319.5.1000.1.22.2,300402,Ｏ２ｈｇｂ,1A1,動脈全血,%,%,1
647,血液ガス検査,O2Hb,1.2.840.114319.5.1000.1.45.4,01216,O2Hb,003,全血,%,%,1
648,血液ガス検査,COHb,1.2.840.114319.5.1000.1.23.3,2099213,カルボキシ・ヘモグロビン,611,静脈血,%,%,1
649,血液ガス検査,COHb,1.2.840.114319.5.1000.1.22.1,0662100,COHb,009,動全血,％,%,1
650,血液ガス検査,COHb,1.2.840.114319.5.1000.1.22.2,300404,Ｃｏｈｇｂ,1A1,動脈全血,,%,1
651,血液ガス検査,COHb,1.2.840.114319.5.1000.1.45.4,01217,COHb,003,全血,%,%,1
652,血液ガス検査,MetHb,1.2.840.114319.5.1000.1.23.3,2099214,メトヘモグロビン,611,静脈血,%,%,1
653,血液ガス検査,MetHb,1.2.840.114319.5.1000.1.22.1,0662200,MetHb,009,動全血,％,%,1
654,血液ガス検査,MetHb,1.2.840.114319.5.1000.1.22.2,300403,Ｍｅｔｈｇｂ,1A1,動脈全血,,%,1
655,血液ガス検査,MetHb,1.2.840.114319.5.1000.1.45.4,01218,MetHb,003,全血,%,%,1
656,生化学検査,eGFR,1.2.840.114319.5.1000.1.26.1,0452010,eGFR,010,血液,mL/min/1.73m2,mL/min/1.73m2,1
657,生化学検査,eGFR,1.2.840.114319.5.1000.1.18.1,0571100,eGFR(GFR推算式),034,血液,mL/min/1.73m^2,mL/min/1.73m2,1
658,生化学検査,eGFR,1.2.840.114319.5.1000.1.22.1,0020503,eGFRcre,005,静血漿,mL/min,mL/min/1.73m2,1
659,生化学検査,eGFR,1.2.840.114319.5.1000.1.27.3,0003063,推算GFR,023,血清,,mL/min/1.73m2,1
660,生化学検査,eGFR,1.2.840.114319.5.1000.1.28.13,0243,Ｅｇｆｒ（機能評価）,12,血清,ml/分/1.73,mL/min/1.73m2,1
661,生化学検査,eGFR,1.2.840.114319.5.1000.1.41.2,001901,推算Ｇｆｒ,023,血清,,mL/min/1.73m2,1
662,生化学検査,eGFR,1.2.840.114319.5.1000.1.45.4,00355,eGFR,001,血清,ml/分/1.73㎡,mL/min/1.73m2,1
663,血液ガス検査,アニオンギャップ,1.2.840.114319.5.1000.1.45.1,0016920,AnGap,050,静脈血,mmol/L,mmol/L,1
664,血液ガス検査,アニオンギャップ,1.2.840.114319.5.1000.1.18.1,0994222,Anion Gap(K+),004,血液（Ｖ）,mmol/L,mmol/L,1
665,血液ガス検査,アニオンギャップ,1.2.840.114319.5.1000.1.45.2,01269,ＡｎＧａｐ,003,全血,mmol/L,mmol/L,1
666,血液検査,後骨髄球,1.2.840.114319.5.1000.1.45.1,0060103,Ｎ－ｍｅｔａ,001,血液,%,%,1
667,血液検査,後骨髄球,1.2.840.114319.5.1000.1.18.1,0213010,Meta（後骨髄球）,034,血液,%,%,1
668,血液検査,後骨髄球,1.2.840.114319.5.1000.1.22.1,0520700,META,003,静全血,%,%,1
669,血液検査,後骨髄球,1.2.840.114319.5.1000.1.22.2,005509,Ｍｅｔａ,1G1,末梢全血（HLA関連）,%,%,1
670,血液検査,後骨髄球,1.2.840.114319.5.1000.1.45.2,02034,後骨髄球,002,血漿,%,%,1
671,血液検査,骨髄芽球,1.2.840.114319.5.1000.1.45.1,0060112,Ｂｌａｓｔ,001,血液,,%,1
672,血液検査,骨髄芽球,1.2.840.114319.5.1000.1.22.1,0520900,BLAST,003,静全血,%,%,1
673,血液検査,骨髄芽球,1.2.840.114319.5.1000.1.22.2,005512,Ｂｌａｓｔ,1G1,末梢全血（HLA関連）,%,%,1
674,血液検査,骨髄芽球,1.2.840.114319.5.1000.1.45.2,02044,芽球,002,血漿,%,%,1
675,血液検査,有核赤血球数,1.2.840.114319.5.1000.1.23.3,2000121,有核赤血球数,611,静脈血,E03/μl,10^3/μL,1
676,血液検査,有核赤血球数,1.2.840.114319.5.1000.1.26.1,0206790,NRBC#,010,血液,10^9/L,10^3/μL,1
677,血液検査,有核赤血球数,1.2.840.114319.5.1000.1.22.2,005124,Ｎｒｂｃ,1G1,末梢全血（HLA関連）,,10^3/μL,0.1
678,血液検査,有核赤血球数,1.2.840.114319.5.1000.1.27.3,0003651,NRBC数,019,全血,,10^3/μL,0.01
679,血液検査,有核赤血球比率,1.2.840.114319.5.1000.1.18.1,0213015,NRBC（有核赤血球）,034,血液,/100W,/100WBC,1
680,血液検査,有核赤血球比率,1.2.840.114319.5.1000.1.26.1,0206780,NRBC,010,血液,/100WBC,/100WBC,1
681,血液検査,乳び,1.2.840.114319.5.1000.1.45.1,0007601,乳び,001,血液,,,1
682,血液検査,乳び,1.2.840.114319.5.1000.1.26.1,4316000,乳び(生化学),010,血液,,,1
683,血液検査,乳び,1.2.840.114319.5.1000.1.22.2,901101,乳び,1C1,静脈血漿（凝固）,,,1
684,血液検査,乳び,1.2.840.114319.5.1000.1.26.1,0459010,乳び(ｱﾝﾓﾆｱ),010,血液,,,1
685,血液検査,乳び,1.2.840.114319.5.1000.1.23.3,1095200,乳靡,611,静脈血,,,1
686,血液検査,乳び,1.2.840.114319.5.1000.1.22.2,901101,乳び,1B1,静脈血清（一般特殊 ）,,,1
687,血液検査,黄疸,1.2.840.114319.5.1000.1.45.1,0007603,黄疸,001,血液,,,1
688,血液検査,黄疸,1.2.840.114319.5.1000.1.26.1,4318000,黄疸(生化学),010,血液,,,1
689,血液検査,黄疸,1.2.840.114319.5.1000.1.22.2,901103,黄疸,1C1,静脈血漿（凝固）,,,1
690,血液検査,黄疸,1.2.840.114319.5.1000.1.26.1,0459030,黄疸(ｱﾝﾓﾆｱ),010,血液,,,1
691,血液検査,黄疸,1.2.840.114319.5.1000.1.23.3,1095300,黄疸,611,静脈血,,,1
692,血液検査,黄疸,1.2.840.114319.5.1000.1.22.2,901103,黄疸,1B1,静脈血清（一般特殊 ）,,,1
693,免疫血清検査,CRP,1.2.840.114319.5.1000.1.45.4,00391,ＣＲＰ定量,001,血清,mg/dL,mg/dL,1
694,免疫血清検査,CRP,1.2.840.114319.5.1000.1.18.1,0411100,CRP,034,血液,mg/dL,mg/dL,1
695,免疫血清検査,CRP,1.2.840.114319.5.1000.1.22.1,0180100,CRP定量,005,静血漿,mg/dL,mg/dL,1
696,免疫血清検査,CRP,1.2.840.114319.5.1000.1.22.2,301100,Ｃｒｐ定量,1B1,静脈血清（一般特殊 ）,,mg/dL,1
697,免疫血清検査,CRP,1.2.840.114319.5.1000.1.28.13,0202,Ｃｒｐ,12,血清,mg/dl,mg/dL,1
698,免疫血清検査,CRP,1.2.840.114319.5.1000.1.45.1,0011100,ＣＲＰ,001,血液,mg/dL,mg/dL,1
699,免疫血清検査,CRP,1.2.840.114319.5.1000.1.41.2,030100,Ｃ反応性蛋白,023,血清,mg/dL,mg/dL,1
700,生化学検査,アンモニア,1.2.840.114319.5.1000.1.45.1,0009900,アンモニア,001,血液,μg／dL,μg/dL,1
701,生化学検査,アンモニア,1.2.840.114319.5.1000.1.18.1,0993700,ｱﾝﾓﾆｱ,034,血液,μmol/L,μg/dL,1
702,生化学検査,アンモニア,1.2.840.114319.5.1000.1.22.1,0021500,ｱﾝﾓﾆｱ,005,静血漿,μg/dL,μg/dL,1
703,生化学検査,アンモニア,1.2.840.114319.5.1000.1.45.4,00400,アンモニア,003,全血,μg/dL,μg/dL,1
704,生化学検査,アンモニア,1.2.840.114319.5.1000.1.45.2,00400,アンモニア,003,全血,μg/dL,μg/dL,1
705,生化学検査,アンモニア,1.2.840.114319.5.1000.1.28.13,0265,Ｎｈ３－Ｎ,11,全血,μg/dl,μg/dL,1
706,生化学検査,アンモニア,1.2.840.114319.5.1000.1.22.2,302500,Ｎｈ３,1C1,静脈血漿（凝固）,μMol/L,μg/dL,1
707,生化学検査,アンモニア,1.2.840.114319.5.1000.1.26.1,0456000,ｱﾝﾓﾆｱ,010,血液,μg/dL,μg/dL,1
708,血液検査,赤芽球,1.2.840.114319.5.1000.1.45.2,02045,赤芽球,002,血漿,/100WBC,/100WBC,1
709,血液検査,赤芽球,1.2.840.114319.5.1000.1.22.2,005517,Ｅ－Ｂｌ／１００ｗｂｃ,1G1,末梢全血（HLA関連）,,/100WBC,1
710,血液検査,赤芽球,1.2.840.114319.5.1000.1.28.13,0034,Ｅｂｌ／１００ｗｂｃ,11,全血,%,/100WBC,1
711,血液検査,赤芽球,1.2.840.114319.5.1000.1.45.4,02045,赤芽球,003,全血,/100w,/100WBC,1
712,血液検査,pH,1.2.840.114319.5.1000.1.45.4,01203,ＰＨ,003,全血,,,1
713,血液検査,pH,1.2.840.114319.5.1000.1.18.1,0994201,PH,004,血液（Ｖ）,,,1
714,血液検査,pH,1.2.840.114319.5.1000.1.22.1,0661100,pH,009,動全血,,,1
715,血液検査,pH,1.2.840.114319.5.1000.1.22.2,300101,Ｐｈ,1A1,動脈全血,,,1
716,血液検査,pH,1.2.840.114319.5.1000.1.28.13,0943,Ｐｈ,11,全血,,,1
717,血液検査,pH,1.2.840.114319.5.1000.1.45.1,0016901,ｐH,050,静脈血,,,1
718,血液検査,pH,1.2.840.114319.5.1000.1.45.2,01253,ＰＨ,003,全血,,,1
719,血液検査,pH,1.2.840.114319.5.1000.1.23.3,2099202,ＰＨ,611,静脈血,,,1
720,血液ガス検査,tHb,1.2.840.114319.5.1000.1.45.4,01201,tHB,003,全血,g/dL,g/dL,1
721,血液ガス検査,tHb,1.2.840.114319.5.1000.1.45.1,0016910,tHb,050,静脈血,g/dL,g/dL,1
722,生化学検査,乳酸,1.2.840.114319.5.1000.1.45.4,01221,cLac,003,全血,mmol/L,mmol/L,1
723,生化学検査,乳酸,1.2.840.114319.5.1000.1.18.1,0994224,Lactate,004,血液（Ｖ）,mg/dL,mmol/L,0.11101
724,生化学検査,乳酸,1.2.840.114319.5.1000.1.22.1,0662900,全血Lac,009,動全血,mg/dL,mmol/L,0.11101
725,生化学検査,乳酸,1.2.840.114319.5.1000.1.22.2,300502,全血Ｌａｃｔａｔｅ,1A1,動脈全血,,mmol/L,1
726,生化学検査,乳酸,1.2.840.114319.5.1000.1.28.13,0761,乳酸,11,全血,mmol/l,mmol/L,1
727,生化学検査,乳酸,1.2.840.114319.5.1000.1.45.2,01271,Ｌａｃ,003,全血,mmol/L,mmol/L,1
728,生化学検査,乳酸,1.2.840.114319.5.1000.1.23.3,2099217,乳酸,611,静脈血,mg/dl,mmol/L,0.11101
729,生化学検査,ﾀｳﾘﾝ,1.2.840.114319.5.1000.1.18.1,0948001,ﾀｳﾘﾝ,034,血液,nmol/mL,nmol/mL,1
730,生化学検査,ﾀｳﾘﾝ,1.2.840.114319.5.1000.1.22.2,394102,Ｔａｕｒｉｎｅ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
731,生化学検査,ﾀｳﾘﾝ,1.2.840.114319.5.1000.1.28.13,2701,タウリン,13,血漿,nmol/ml,nmol/mL,1
732,生化学検査,ﾀｳﾘﾝ,1.2.840.114319.5.1000.1.22.1,0064200,ﾀｳﾘﾝ,005,静血漿,nmol/mL,nmol/mL,1
733,生化学検査,ﾎｽﾌｫｴﾀﾉｰﾙｱﾐﾝ,1.2.840.114319.5.1000.1.18.1,0948002,ﾎｽﾌｫｴﾀﾉｰﾙｱﾐﾝ,034,血液,nmol/mL,nmol/mL,1
734,生化学検査,ﾎｽﾌｫｴﾀﾉｰﾙｱﾐﾝ,1.2.840.114319.5.1000.1.22.2,394103,Ｐｅａ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
735,生化学検査,ﾎｽﾌｫｴﾀﾉｰﾙｱﾐﾝ,1.2.840.114319.5.1000.1.28.13,2702,ホスフォエタノールアミン,13,血漿,nmol/ml,nmol/mL,1
736,生化学検査,ﾎｽﾌｫｴﾀﾉｰﾙｱﾐﾝ,1.2.840.114319.5.1000.1.22.1,0064300,ﾎｽﾌｫｴﾀﾉｰﾙｱﾐﾝ,005,静血漿,nmol/mL,nmol/mL,1
737,生化学検査,ｱｽﾊﾟﾗｷﾞﾝ酸,1.2.840.114319.5.1000.1.18.1,0948003,ｱｽﾊﾟﾗｷﾞﾝ酸,034,血液,nmol/mL,nmol/mL,1
738,生化学検査,ｱｽﾊﾟﾗｷﾞﾝ酸,1.2.840.114319.5.1000.1.22.2,394104,Ａｓｐａｒｔｉｃ　Ａｃｉｄ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
739,生化学検査,ｱｽﾊﾟﾗｷﾞﾝ酸,1.2.840.114319.5.1000.1.28.13,2703,アスパラギン酸,13,血漿,nmol/ml,nmol/mL,1
740,生化学検査,ｱｽﾊﾟﾗｷﾞﾝ酸,1.2.840.114319.5.1000.1.22.1,0066300,ｱｽﾊﾟﾗｷﾞﾝ酸,005,静血漿,nmol/mL,nmol/mL,1
741,生化学検査,ﾊｲﾄﾞﾛｷｼﾌﾟﾛﾘﾝ,1.2.840.114319.5.1000.1.18.1,0948004,ﾊｲﾄﾞﾛｷｼﾌﾟﾛﾘﾝ,034,血液,nmol/mL,nmol/mL,1
742,生化学検査,ﾊｲﾄﾞﾛｷｼﾌﾟﾛﾘﾝ,1.2.840.114319.5.1000.1.22.2,394105,Ｈｙｄｒｏｘｙｐｒｏｌｉｎｅ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
743,生化学検査,ﾊｲﾄﾞﾛｷｼﾌﾟﾛﾘﾝ,1.2.840.114319.5.1000.1.28.13,2704,ハイドロキシプロリン,13,血漿,nmol/ml,nmol/mL,1
744,生化学検査,ﾊｲﾄﾞﾛｷｼﾌﾟﾛﾘﾝ,1.2.840.114319.5.1000.1.22.1,0066200,ﾊｲﾄﾞﾛｷｼﾌﾟﾛﾘﾝ,005,静血漿,nmol/mL,nmol/mL,1
745,生化学検査,ﾄﾚｵﾆﾝ,1.2.840.114319.5.1000.1.18.1,0948005,ﾄﾚｵﾆﾝ,034,血液,nmol/mL,nmol/mL,1
746,生化学検査,ﾄﾚｵﾆﾝ,1.2.840.114319.5.1000.1.22.2,394106,Ｔｈｒｅｏｎｉｎｅ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
747,生化学検査,ﾄﾚｵﾆﾝ,1.2.840.114319.5.1000.1.28.13,2705,トレオニン,13,血漿,nmol/ml,nmol/mL,1
748,生化学検査,ﾄﾚｵﾆﾝ,1.2.840.114319.5.1000.1.22.1,0066500,ﾄﾚｵﾆﾝ,005,静血漿,nmol/mL,nmol/mL,1
749,生化学検査,ｾﾘﾝ,1.2.840.114319.5.1000.1.18.1,0948006,ｾﾘﾝ,034,血液,nmol/mL,nmol/mL,1
750,生化学検査,ｾﾘﾝ,1.2.840.114319.5.1000.1.22.2,394107,Ｓｅｒｉｎｅ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
751,生化学検査,ｾﾘﾝ,1.2.840.114319.5.1000.1.28.13,2706,セリン,13,血漿,nmol/ml,nmol/mL,1
752,生化学検査,ｾﾘﾝ,1.2.840.114319.5.1000.1.22.1,0066600,ｾﾘﾝ,005,静血漿,nmol/mL,nmol/mL,1
753,生化学検査,ｱｽﾊﾟﾗｷﾞﾝ,1.2.840.114319.5.1000.1.18.1,0948007,ｱｽﾊﾟﾗｷﾞﾝ,034,血液,nmol/mL,nmol/mL,1
754,生化学検査,ｱｽﾊﾟﾗｷﾞﾝ,1.2.840.114319.5.1000.1.22.2,394108,Ａｓｐａｒａｇｉｎｅ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
755,生化学検査,ｱｽﾊﾟﾗｷﾞﾝ,1.2.840.114319.5.1000.1.28.13,2707,アスパラギン,13,血漿,nmol/ml,nmol/mL,1
756,生化学検査,ｱｽﾊﾟﾗｷﾞﾝ,1.2.840.114319.5.1000.1.22.1,0064100,ｱｽﾊﾟﾗｷﾞﾝ,005,静血漿,nmol/mL,nmol/mL,1
757,生化学検査,ｸﾞﾙﾀﾐﾝ酸,1.2.840.114319.5.1000.1.18.1,0948008,ｸﾞﾙﾀﾐﾝ酸,034,血液,nmol/mL,nmol/mL,1
758,生化学検査,ｸﾞﾙﾀﾐﾝ酸,1.2.840.114319.5.1000.1.22.2,394109,Ｇｌｕｔａｍｉｃ　Ａｃｉｄ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
759,生化学検査,ｸﾞﾙﾀﾐﾝ酸,1.2.840.114319.5.1000.1.28.13,2708,グルタミン酸,13,血漿,nmol/ml,nmol/mL,1
760,生化学検査,ｸﾞﾙﾀﾐﾝ酸,1.2.840.114319.5.1000.1.22.1,0066700,ｸﾞﾙﾀﾐﾝ酸,005,静血漿,nmol/mL,nmol/mL,1
761,生化学検査,ｸﾞﾙﾀﾐﾝ,1.2.840.114319.5.1000.1.18.1,0948009,ｸﾞﾙﾀﾐﾝ,034,血液,nmol/mL,nmol/mL,1
762,生化学検査,ｸﾞﾙﾀﾐﾝ,1.2.840.114319.5.1000.1.22.2,394110,Ｇｌｕｔａｍｉｎｅ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
763,生化学検査,ｸﾞﾙﾀﾐﾝ,1.2.840.114319.5.1000.1.28.13,2709,グルタミン,13,血漿,nmol/ml,nmol/mL,1
764,生化学検査,ｸﾞﾙﾀﾐﾝ,1.2.840.114319.5.1000.1.22.1,0066400,ｸﾞﾙﾀﾐﾝ,005,静血漿,nmol/mL,nmol/mL,1
765,生化学検査,ｻﾙｺｼﾝ,1.2.840.114319.5.1000.1.18.1,0948010,ｻﾙｺｼﾝ,034,血液,nmol/mL,nmol/mL,1
766,生化学検査,ｻﾙｺｼﾝ,1.2.840.114319.5.1000.1.22.2,394111,Ｓａｒｃｏｓｉｎｅ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
767,生化学検査,ｻﾙｺｼﾝ,1.2.840.114319.5.1000.1.28.13,2710,サルコシン,13,血漿,nmol/ml,nmol/mL,1
768,生化学検査,ｻﾙｺｼﾝ,1.2.840.114319.5.1000.1.22.1,0064400,ｻﾙｺｼﾝ,005,静血漿,nmol/mL,nmol/mL,1
769,生化学検査,α-ｱﾐﾉｱｼﾞﾋﾟﾝ酸,1.2.840.114319.5.1000.1.18.1,0948011,α-ｱﾐﾉｱｼﾞﾋﾟﾝ酸,034,血液,nmol/mL,nmol/mL,1
770,生化学検査,α-ｱﾐﾉｱｼﾞﾋﾟﾝ酸,1.2.840.114319.5.1000.1.22.2,394112,Α－Ａａａ,1C1,静脈血漿（凝固）,μMol/L,nmol/mL,1
771,生化学検査,α-ｱﾐﾉｱｼﾞﾋﾟﾝ酸,1.2.840.114319.5.1000.1.28.13,2711,Α－アミノアジピン酸,13,血漿,nmol/ml,nmol/mL,1
